date,open,high,low,close,volume
2021-07-30 09:00:00,19.359,22.669,18.824,22.247,2154714.1000000001
2021-07-31 09:00:00,22.247,23.362,21.27,22.705,1337045.3
2021-08-01 09:00:00,22.705,23.917,21.803,22.093,1309267.6000000001
2021-08-02 09:00:00,22.093,23.984,21.426,23.49,1224916
2021-08-03 09:00:00,23.49,24.436,22.109,23.937,2092855.6000000001
2021-08-04 09:00:00,23.937,24.999,22.878,24.192,1519377.5
2021-08-05 09:00:00,24.192,24.338,22.501,24.053,1218578.8999999999
2021-08-06 09:00:00,24.053,24.405,23.086,23.888,1142899
2021-08-07 09:00:00,23.888,25.199,23.646,24.71,1001535.9
2021-08-08 09:00:00,24.71,24.95,22.568,23.041,868579.2
2021-08-09 09:00:00,23.041,24.7,22.1,24.244,800553.5
2021-08-10 09:00:00,24.244,25.532,23.765,24.574,794217.2
2021-08-11 09:00:00,24.574,27.334,24.486,25.934,1143029.1000000001
2021-08-12 09:00:00,25.934,26.912,24.131,24.922,1010466.4
2021-08-13 09:00:00,24.922,27.774,24.736,27.761,799001.6
2021-08-14 09:00:00,27.761,27.967,26.416,27.178,1160030.8
2021-08-15 09:00:00,27.178,28,25.935,27.934,875302.7
2021-08-16 09:00:00,27.934,30.557,27.682,27.974,2203993.7999999998
2021-08-17 09:00:00,27.974,30.28,25.898,26.169,1913848.2
2021-08-18 09:00:00,26.169,26.937,24.867,25.332,1247434.8999999999
2021-08-19 09:00:00,25.332,27.139,24.525,27.11,1121308.3
2021-08-20 09:00:00,27.11,29.071,26.685,28.729,960127.4
2021-08-21 09:00:00,28.729,29.192,27.677,27.868,843851.8
2021-08-22 09:00:00,27.868,28.693,26.822,28.011,612952.1
2021-08-23 09:00:00,28.011,29.351,27.813,28.605,958564.3
2021-08-24 09:00:00,28.605,28.946,25.751,25.766,935221.5
2021-08-25 09:00:00,25.766,26.883,25.301,26.637,833844.2
2021-08-26 09:00:00,26.637,26.953,23.906,24.387,868019.5
2021-08-27 09:00:00,24.387,26.16,24.031,26.061,518411.2
2021-08-28 09:00:00,26.061,26.2,25.378,25.743,342435.3
